"currency","mean_model","p","q","dist","aic","bic","lbz","lbz2c","lbz2a","persistence"
"USD","ARMA(0,0)",2,3,"std",1.80250445706927,1.82477095622314,0.642347852374201,1.67715009082858e-05,3.16908212938394e-06,0.964209329522383
"USD","ARMA(0,0)",2,3,"sstd",1.80116232459247,1.82621213614057,0.637724497198462,1.15887318852259e-05,2.1440782779214e-06,0.965562988544456
"USD","ARMA(0,0)",3,3,"norm",1.83977635938209,1.86204285853596,0.70076209566804,0.050937991270157,0.0194493317614752,0.952889694166354
"USD","ARMA(0,0)",3,3,"std",1.80349701355854,1.82854682510664,0.642350849064132,1.67775646736645e-05,3.17029412810754e-06,0.964209057229058
"USD","ARMA(0,0)",3,3,"sstd",1.80215488143457,1.8299880053769,0.637724137980048,1.15851683274437e-05,2.14338184612028e-06,0.965563953042285
"USD","ARMA(0,0)",4,3,"norm",1.84087974628467,1.86592955783277,0.701948662014912,0.0500321149837655,0.0190527973325155,0.952920277864435
"USD","ARMA(0,0)",4,3,"std",1.80456822033864,1.83240134428098,0.643858294916153,1.64099079956737e-05,3.09685763910661e-06,0.964256277829274
"USD","ARMA(0,0)",4,3,"sstd",1.80322544226196,1.83384187859853,0.639342093637201,1.15206334291296e-05,2.1307719111352e-06,0.965589173561183
"USD","ARMA(0,0)",1,4,"norm",1.83905036233155,1.85853354909119,0.708680556705527,0.0395588513072985,0.0145637313685754,0.957439644371883
"USD","ARMA(0,0)",1,4,"std",1.80236742827834,1.82463392743221,0.651057161387217,2.00596252585283e-05,3.83005436477291e-06,0.960978083233923
"USD","ARMA(0,0)",1,4,"sstd",1.80107654493563,1.82612635648373,0.645862560917736,1.48360731077046e-05,2.78366515815698e-06,0.962756633605179
"USD","ARMA(0,0)",2,4,"norm",1.83995745291818,1.86222395207205,0.708000358640987,0.0425895040254683,0.015844033300397,0.955358833889885
"USD","ARMA(0,0)",2,4,"std",1.80335997719354,1.82840978874164,0.651132671836449,2.0156339452071e-05,3.84960375210408e-06,0.960998275537371
"USD","ARMA(0,0)",2,4,"sstd",1.80206910231752,1.82990222625986,0.645869167244705,1.48390647933816e-05,2.78425864030929e-06,0.962757091010655
"USD","ARMA(0,0)",3,4,"norm",1.8408797459932,1.8659295575413,0.701949282865318,0.0500317000547443,0.0190526159921033,0.952920547164853
"USD","ARMA(0,0)",3,4,"std",1.80435252906852,1.83218565301085,0.651137014904622,2.01554070085042e-05,3.84941524389504e-06,0.960999929467772
"USD","ARMA(0,0)",3,4,"sstd",1.80306165727047,1.83367809360704,0.645867776723316,1.4837974950499e-05,2.7840424395853e-06,0.962757033344906
"USD","ARMA(0,0)",4,4,"norm",1.84187230329937,1.86970542724171,0.701948552757559,0.0500331180645716,0.019053235719643,0.952920304203955
"USD","ARMA(0,0)",4,4,"std",1.80534508858771,1.83596152492428,0.651140475755404,2.01543687289307e-05,3.84920534002298e-06,0.961003691496169
"USD","ARMA(0,0)",4,4,"sstd",1.80405421322399,1.83745396195479,0.645861812299913,1.4832237428597e-05,2.78290425770322e-06,0.96275782991569
"TWI","ARMA(1,0)",1,1,"norm",1.31909850042119,1.33301506239236,0.607485417822832,0.0202108379963879,0.0068121753594379,0.929478007712406
"TWI","ARMA(1,0)",1,1,"std",1.28655014358336,1.30325001794876,0.607171629409115,3.32393073310122e-06,5.74826520716165e-07,0.952162242948647
"TWI","ARMA(1,0)",1,1,"sstd",1.28536478086733,1.30484796762697,0.58876206825132,1.14646906934635e-06,1.87931267769947e-07,0.957731857822857
"TWI","ARMA(1,0)",2,1,"norm",1.32016541346336,1.33686528782876,0.607209651876781,0.0202390250294842,0.00682284870901484,0.929559536259262
"TWI","ARMA(1,0)",2,1,"std",1.28760231287903,1.30708549963867,0.6070536498284,3.19239915291814e-06,5.50925201570074e-07,0.952355248972056
"TWI","ARMA(1,0)",2,1,"sstd",1.28641934906258,1.30868584821645,0.588692365445836,1.10308484513322e-06,1.80480471789757e-07,0.957882370514821
"TWI","ARMA(1,0)",3,1,"norm",1.32137795337341,1.34086114013305,0.607736938181836,0.0200038124516364,0.00673384796788734,0.92950811850253
"TWI","ARMA(1,0)",3,1,"std",1.28875308510581,1.31101958425968,0.607260549716188,2.70561841175798e-06,4.62955528912623e-07,0.952689963517383
"TWI","ARMA(1,0)",3,1,"sstd",1.28756684667041,1.31261665821851,0.589202424409673,9.47866286904464e-07,1.53950202474995e-07,0.958134771181525
"TWI","ARMA(1,0)",4,1,"norm",1.32266557022023,1.3449320693741,0.606726081037585,0.0196889457004661,0.00661494074899593,0.929334668771042
"TWI","ARMA(1,0)",4,1,"std",1.28994882989919,1.3149986414473,0.606836662758153,2.15714989126869e-06,3.64874184644037e-07,0.953081101283027
"TWI","ARMA(1,0)",4,1,"sstd",1.28876169838839,1.31659482233072,0.589003973594209,7.68140137608064e-07,1.23509136362721e-07,0.958418413783505
"TWI","ARMA(1,0)",1,2,"norm",1.31405298317365,1.33075285753905,0.593148113180786,0.0482917819877353,0.0182945518785594,0.904984234839759
"TWI","ARMA(1,0)",1,2,"std",1.28474679955482,1.30422998631446,0.603403151765441,9.52128666104057e-05,2.00236772150975e-05,0.931568491350633
"TWI","ARMA(1,0)",1,2,"sstd",1.28358368105757,1.30585018021144,0.587273051717119,4.65523110327881e-05,9.35162704240877e-06,0.938253380877809
"TWI","ARMA(1,0)",2,2,"norm",1.31504553963297,1.3345287263926,0.593147163978214,0.0482990130933103,0.0182976926121814,0.904982481990368
"TWI","ARMA(1,0)",2,2,"std",1.2857393553889,1.30800585454277,0.603394850559051,9.51442980678951e-05,2.00083070731605e-05,0.931565546871994
"TWI","ARMA(1,0)",2,2,"sstd",1.28457623754138,1.30962604908948,0.587267560922791,4.65203189590202e-05,9.34480032777074e-06,0.938261406085891
"TWI","ARMA(1,0)",3,2,"norm",1.31625169699816,1.33851819615203,0.59375739610695,0.047518273282893,0.0179590649013851,0.904919796659376
"TWI","ARMA(1,0)",3,2,"std",1.28688948374117,1.31193929528927,0.603769764831518,8.43609915899268e-05,1.76012572650208e-05,0.93186880835978
"TWI","ARMA(1,0)",3,2,"sstd",1.28572392608799,1.31355705003033,0.587910090819736,4.15534224196268e-05,8.28884747627878e-06,0.938495503407527
"TWI","ARMA(1,0)",4,2,"norm",1.31735872373188,1.34240853527998,0.592449048300025,0.113837314895141,0.0495905769429162,0.888714051248226
