Date,CNY,USD,TWI,SDR
13-Nov-2019,4.8026,0.6843,59.5,0.4984
14-Nov-2019,4.7736,0.6798,59.1,0.4952
15-Nov-2019,4.7615,0.6795,59,0.4952
18-Nov-2019,4.7756,0.6811,59.1,0.4955
19-Nov-2019,4.7763,0.6798,59,0.4941
20-Nov-2019,4.7926,0.6817,59.2,0.4953
21-Nov-2019,4.7845,0.6797,59.1,0.4943
22-Nov-2019,4.7728,0.6788,59,0.4931
25-Nov-2019,4.7803,0.6794,59.1,0.4941
26-Nov-2019,4.7681,0.6782,59,0.4939
27-Nov-2019,4.764,0.6777,58.9,0.4936
28-Nov-2019,4.753,0.6763,58.8,0.4926
29-Nov-2019,4.766,0.6777,59,0.4936
02-Dec-2019,4.7619,0.6774,58.9,0.4934
03-Dec-2019,4.8163,0.6841,59.5,0.4985
04-Dec-2019,4.8249,0.6825,59.4,0.496
05-Dec-2019,4.8246,0.6839,59.4,0.4968
06-Dec-2019,4.8224,0.6843,59.4,0.4965
09-Dec-2019,4.8063,0.6832,59.3,0.4955
10-Dec-2019,4.8064,0.6829,59.2,0.4955
11-Dec-2019,4.7978,0.6818,59.2,0.4946
12-Dec-2019,4.8387,0.6882,59.6,0.4994
13-Dec-2019,4.8263,0.6926,59.7,0.5017
16-Dec-2019,4.8099,0.6873,59.4,0.4966
17-Dec-2019,4.8077,0.6871,59.4,0.497
18-Dec-2019,4.7966,0.6846,59.2,0.4955
19-Dec-2019,4.8185,0.688,59.5,0.4987
20-Dec-2019,4.8304,0.689,59.6,0.4995
23-Dec-2019,4.843,0.6906,59.8,0.5013
24-Dec-2019,4.8465,0.6914,59.8,0.5022
27-Dec-2019,4.8665,0.6953,60.1,0.5047
30-Dec-2019,4.8809,0.699,60.2,0.5065
31-Dec-2019,4.8876,0.7006,60.3,0.5067
02-Jan-2020,4.8789,0.7003,60.2,0.5065
03-Jan-2020,4.855,0.6966,60,0.5033
06-Jan-2020,4.8416,0.6945,59.8,0.5028
07-Jan-2020,4.8186,0.6928,59.6,0.5002
08-Jan-2020,4.7721,0.6871,59.2,0.4964
09-Jan-2020,4.7615,0.6873,59.2,0.4975
10-Jan-2020,4.7646,0.6873,59.2,0.4983
